condition,run,mean,skewness,large_fraction
quantum,96,4723.0,0.0,1.0
quantum,97,4779.0,0.0,1.0
quantum,98,4785.0,0.0,1.0
quantum,99,4619.733333333334,-5.199469468957454,0.9666666666666667
mimic,0,4866.0,0.0,1.0
mimic,1,4725.133333333333,-5.199469468957456,0.9666666666666667
mimic,2,4876.0,0.0,1.0
mimic,3,4882.0,0.0,1.0
mimic,4,4554.966666666666,-5.19946946895745,0.9666666666666667
mimic,5,4720.266666666666,-5.1994694689574485,0.9666666666666667
mimic,6,4330.1,-3.474402221839504,0.9333333333333333
mimic,7,4516.333333333333,-5.199469468957449,0.9666666666666667
mimic,8,4564.7,-5.199469468957453,0.9666666666666667
mimic,9,4875.0,0.0,1.0
mimic,10,4961.0,0.0,1.0
mimic,11,4689.0,0.0,1.0
mimic,12,4710.6,-5.199469468957451,0.9666666666666667
mimic,13,4730.0,0.0,1.0
mimic,14,4725.0,0.0,1.0
mimic,15,4890.0,0.0,1.0
mimic,16,4682.0,0.0,1.0
mimic,17,4886.0,0.0,1.0
mimic,18,4720.333333333333,-5.199469468957454,0.9666666666666667
mimic,19,4801.5,-5.199469468957452,0.9666666666666667
mimic,20,4692.0,0.0,1.0
mimic,21,4902.0,0.0,1.0
mimic,22,4574.3,-5.199469468957453,0.9666666666666667
mimic,23,4338.266666666666,-3.4743964433470422,0.9333333333333333
mimic,24,4558.466666666666,-3.4743961448615184,0.9333333333333333
mimic,25,4737.0,0.0,1.0
mimic,26,4490.5,-5.199469468957452,0.9666666666666667
mimic,27,4662.0,0.0,1.0
mimic,28,4792.766666666666,-5.199469468957451,0.9666666666666667
mimic,29,4537.733333333334,-5.199469468957447,0.9666666666666667
mimic,30,4379.266666666666,-3.4743961448615166,0.9333333333333333
mimic,31,4910.0,0.0,1.0
mimic,32,4579.133333333333,-5.19946946895745,0.9666666666666667
mimic,33,4706.0,0.0,1.0
mimic,34,4884.0,0.0,1.0
mimic,35,4727.066666666667,-5.199469468957453,0.9666666666666667
mimic,36,4745.0,0.0,1.0
mimic,37,4894.0,0.0,1.0
mimic,38,4531.766666666666,-5.199469468957454,0.9666666666666667
mimic,39,4900.0,0.0,1.0
mimic,40,4545.3,-5.199469468957449,0.9666666666666667
mimic,41,4966.0,0.0,1.0
mimic,42,4732.833333333333,-5.199469468957448,0.9666666666666667
mimic,43,4721.0,0.0,1.0
mimic,44,4872.0,0.0,1.0
mimic,45,4892.0,0.0,1.0
mimic,46,4717.366666666667,-5.1994694689574565,0.9666666666666667
mimic,47,4703.833333333333,-5.1994694689574565,0.9666666666666667
mimic,48,4721.233333333334,-5.1994694689574565,0.9666666666666667
mimic,49,4499.866666666667,-5.19946946895745,0.9666666666666667
mimic,50,4799.533333333334,-5.199469468957455,0.9666666666666667
mimic,51,4545.3,-5.199469468957451,0.9666666666666667
mimic,52,4784.066666666667,-5.199469468957456,0.9666666666666667
mimic,53,4667.0,0.0,1.0
mimic,54,4532.733333333334,-5.199469468957447,0.9666666666666667
mimic,55,4373.933333333333,-3.4744008494738297,0.9333333333333333
mimic,56,4355.0,-3.474396144861517,0.9333333333333333
mimic,57,4373.7,-3.474396218261377,0.9333333333333333
mimic,58,4880.0,0.0,1.0
mimic,59,4739.6,-5.199469468957454,0.9666666666666667
mimic,60,4653.0,0.0,1.0
mimic,61,4723.166666666667,-5.199469468957454,0.9666666666666667
mimic,62,4728.0,0.0,1.0
mimic,63,4880.0,0.0,1.0
mimic,64,4194.133333333333,-2.6666667235481576,0.9
mimic,65,4714.0,0.0,1.0
mimic,66,4736.7,-5.199469468957453,0.9666666666666667
mimic,67,4790.833333333333,-5.19946946895745,0.9666666666666667
mimic,68,4737.666666666667,-5.199469468957454,0.9666666666666667
mimic,69,4875.0,0.0,1.0
mimic,70,4717.4,-5.199469468957443,0.9666666666666667
mimic,71,4677.0,0.0,1.0
mimic,72,4576.266666666666,-5.199469468957454,0.9666666666666667
mimic,73,4790.866666666667,-5.199469468957453,0.9666666666666667
mimic,74,4891.0,0.0,1.0
mimic,75,4815.966666666666,-5.199469468957451,0.9666666666666667
mimic,76,4788.9,-5.199469468957445,0.9666666666666667
mimic,77,4856.0,0.0,1.0
mimic,78,4874.0,0.0,1.0
mimic,79,4538.533333333334,-5.199469468957449,0.9666666666666667
mimic,80,4876.0,0.0,1.0
mimic,81,4991.0,0.0,1.0
mimic,82,4780.2,-5.19946946895745,0.9666666666666667
mimic,83,4576.233333333334,-5.199469468957451,0.9666666666666667
mimic,84,4492.2,-5.199469468957453,0.9666666666666667
mimic,85,4885.0,0.0,1.0
mimic,86,4508.633333333333,-5.1994694689574565,0.9666666666666667
mimic,87,4794.7,-5.199469468957454,0.9666666666666667
mimic,88,4887.0,0.0,1.0
mimic,89,4654.0,0.0,1.0
mimic,90,4696.5,-5.199469468957452,0.9666666666666667
mimic,91,4887.0,0.0,1.0
mimic,92,4319.6,-3.4743964459335577,0.9333333333333333
mimic,93,4695.0,0.0,1.0
mimic,94,4776.333333333333,-5.19946946895745,0.9666666666666667
mimic,95,4634.0,0.0,1.0
mimic,96,4842.0,0.0,1.0
mimic,97,4888.0,0.0,1.0
mimic,98,4961.0,0.0,1.0
mimic,99,4895.0,0.0,1.0
