condition,avalanche_size
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4670
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,1
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,1
classical,4737
classical,4645
classical,4645
classical,4645
classical,4645
classical,1
classical,4645
classical,4645
classical,4
classical,4645
classical,4645
classical,4
classical,4645
classical,4645
classical,4645
classical,2
classical,4645
classical,4645
classical,4645
classical,1
classical,4645
classical,4645
classical,4645
classical,4645
classical,4645
classical,4645
classical,4645
classical,4645
classical,4645
classical,4645
classical,4645
classical,4662
classical,4662
classical,4662
classical,4662
classical,4662
classical,4662
classical,4662
classical,4662
classical,4662
classical,4662
classical,19
classical,4662
classical,4662
classical,4662
classical,4662
classical,4662
classical,4662
classical,4662
classical,4662
classical,4662
classical,4662
classical,2
classical,4662
classical,4662
classical,4662
classical,1
classical,4662
classical,4662
classical,4662
classical,4662
classical,4697
classical,4697
classical,4697
classical,4697
classical,4697
classical,4697
classical,4697
classical,2
classical,1
classical,4697
classical,4697
classical,4697
classical,4697
classical,4697
classical,4697
classical,4697
classical,4697
classical,4697
classical,4697
classical,4697
classical,4697
classical,4697
classical,4697
classical,2
classical,4697
classical,4697
classical,4697
classical,4697
classical,6
classical,4697
classical,4694
classical,4694
classical,4694
classical,4694
classical,4694
classical,4694
classical,4694
classical,1
classical,4694
classical,4694
classical,4694
classical,4694
classical,4694
classical,4694
classical,4694
classical,4694
classical,2
classical,4694
classical,4694
classical,4694
classical,4694
classical,4694
classical,4694
classical,4694
classical,4694
classical,4694
classical,4694
classical,4694
classical,4694
classical,4694
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,8
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,1
classical,4713
classical,4713
classical,4713
classical,4713
classical,1
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4713
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,1
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,1
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4737
classical,4706
classical,4706
classical,4706
classical,4706
classical,4706
classical,2
classical,4706
classical,4706
classical,1
classical,4706
classical,4706
classical,4706
classical,4706
classical,4706
classical,4706
classical,4706
classical,4706
classical,4706
classical,4706
classical,4706
classical,4706
classical,4706
classical,4706
classical,4706
classical,4706
classical,4706
classical,4706
classical,4706
classical,4706
classical,4706
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4667
classical,4708
classical,4708
classical,4708
classical,4708
classical,4708
classical,4708
classical,4708
classical,4708
classical,4708
classical,16
classical,4708
classical,4708
classical,4708
classical,4708
classical,4708
classical,4708
classical,4708
classical,4708
classical,4708
classical,4708
classical,4708
classical,4708
classical,4708
classical,4708
classical,4708
classical,4708
classical,4708
classical,4708
classical,4708
classical,4708
classical,4745
classical,4745
classical,4745
classical,4745
